Idx,Date,Folder,Experiment,acq time,frames,positions,z_range,Notes,HEVs,OT1,OT2,Polyclonal,P14,XCR1,CD11c cherry,B cells
1,2018-5-1,24 hours post LPS OT1 OT2 MECA XCR1orB6,xcr1 32 post LPS restart_1,22:35:03,5,46,145,,,"CFP, VPD450",GFP,,,VENUS,,cmTMR?
2,2018-5-1,24 hours post LPS OT1 OT2 MECA XCR1orB6,DC subregion fast timelapse (probably dead)_2,23:30:49,14,4,156,,,"CFP, VPD450",GFP,,,VENUS,,cmTMR?
3,2018-5-6,24 hours post LPS Xcr1 OT1 OT2 poly B Meca,whole timelapse_3,11:48:52,2,53,142,,MECAA647,"CFP, VPD450",cmTMR,CFSE,,VENUS,,"CFP, ef670"
4,2018-5-6,24 hours post LPS Xcr1 OT1 OT2 poly B Meca,subregion fast timelapse_1,12:05:03,5,9,124,,MECAA647,"CFP, VPD450",cmTMR,CFSE,,VENUS,,"CFP, ef670"
5,2018-5-6,24 hours post LPS Xcr1 OT1 OT2 poly B Meca,subregion fast timelapse retry_1,12:34:32,4,9,112,,MECAA647,"CFP, VPD450",cmTMR,CFSE,,VENUS,,"CFP, ef670"
6,2018-5-6,24 hours post LPS Xcr1 OT1 OT2 poly B Meca,single position what is this T cell doing_2,12:44:24,16,1,82,,MECAA647,"CFP, VPD450",cmTMR,CFSE,,VENUS,,"CFP, ef670"
7,2018-5-6,24 hours post LPS Xcr1 OT1 OT2 poly B Meca,back to whole LN_1,12:58:41,3,50,138,,MECAA647,"CFP, VPD450",cmTMR,CFSE,,VENUS,,"CFP, ef670"
8,2018-5-11,BM chimera and XCR1 cherry,cherry fuckin whole_1,16:53:34,3,48,157,,,,,,,,,
9,2018-5-11,BM chimera and XCR1 cherry,subregion OT1 OT2 fast time lapse_1,17:15:48,15,6,206,,,,,,,,,
10,2018-5-11,BM chimera and XCR1 cherry,second subregion OT1 OT2 fast time lapse_2,17:52:06,5,4,137,,,,,,,,,
11,2018-5-11,BM chimera and XCR1 cherry,whole LN againwith MECA_1,18:31:17,3,49,167,,,,,,,,,
12,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,whole LN_1,13:06:27,2,55,127,,,,,,,,,
13,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,timelapse area 1 with XCR1s just out of view_1,13:22:35,11,4,139,,,,,,,,,
14,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,timelapse area 2_1,13:47:57,10,4,144,,,,,,,,,
